model_id,kegg.module,module_name
MAR04040,M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
MAR04042,,
MAR04046,M00958,"Adenine ribonucleotide degradation, AMP => Urate"
MAR04048,,
MAR04080,,
MAR04085,,
MAR04086,M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
MAR04134,,
MAR04135,,
MAR04168,,
MAR04171,M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP"
MAR04290,M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
MAR04406,M00958,"Adenine ribonucleotide degradation, AMP => Urate"
MAR04412,,
MAR04417,,
MAR04418,,
MAR04419,M00959,"Guanine ribonucleotide degradation, GMP => Urate"
MAR04421,M00959,"Guanine ribonucleotide degradation, GMP => Urate"
MAR04449,,
MAR04450,,
MAR04451,M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
MAR04452,,
MAR04453,M00958,"Adenine ribonucleotide degradation, AMP => Urate"
MAR04480,M00958,"Adenine ribonucleotide degradation, AMP => Urate"
MAR04481,,
MAR04482,,
MAR04486,,
MAR04487,,
MAR04488,,
MAR04489,,
MAR04492,,
MAR04493,,
MAR04495,M00959,"Guanine ribonucleotide degradation, GMP => Urate"
MAR04496,M00958,"Adenine ribonucleotide degradation, AMP => Urate"
MAR04518,M00958,"Adenine ribonucleotide degradation, AMP => Urate"
MAR04519,,
MAR04520,M00958,"Adenine ribonucleotide degradation, AMP => Urate"
MAR04573,,
MAR04574,,
MAR04600,,
MAR04602,,
MAR04603,M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
MAR04611,,
MAR04612,M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
MAR04614,,
MAR04615,,
MAR04617,M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
MAR04618,M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
MAR04618,M00938,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP"
MAR04619,,
MAR04621,M00546,"Purine degradation, xanthine => urea"
MAR04621,M00958,"Adenine ribonucleotide degradation, AMP => Urate"
MAR04621,M00959,"Guanine ribonucleotide degradation, GMP => Urate"
MAR04632,M00546,"Purine degradation, xanthine => urea"
