module_id,reactions
M00109,"R02211  C00410 -> C01176 R03326  C01176 -> C05488 R02843  C05488 -> C00735 R02834,R02836  C00735 -> C00762"
M00104,"R01463  C00187 -> C03594 R04263  C03594 -> C05455 R04826  C05455 -> C17339 R04823  C17339 -> C05453 R04824,R04825  C05453 -> C05454 R04807  C05454 -> C05446 R08759  C05446 -> C01301 R08761  C01301 -> C04722 R08733  C04722 -> C15613 R08734  C15613 -> C17343 R08735  C17343 -> C05460 R04813  C05460 -> C15614 R04812  C15614 -> C05467 R03719  C05467 -> C01794 R07296  C01794 -> C00695 R04817  C05455 -> C05451 R04818,R04819  C05451 -> C05452 R04806  C05452 -> C05444 R08758  C05444 -> C05445 R08760  C05445 -> C04554 R08738  C04554 -> C17345 R08739  C17345 -> C17346 R08740  C17346 -> C05447 R04809  C05447 -> C05448 R04810  C05448 -> C05449 R04811  C05449 -> C05337 R03974  C05337 -> C02528"
M00106,R02794  C00695 -> C01794 R03720  C01794 -> C05122 R03718  C01794 -> C01921
M00120,"R03018  C00864 -> C03492 R04230,R04231  C03492 -> C04352 R03269  C04352 -> C01134 R03035  C01134 -> C00882 R00130  C00882 -> C00010"
M00130,R03361  C01194 -> C01277 R03469  C01277 -> C04637 R03435  C04637 -> C01245 R03433  C01245 -> C01272
M00131,R03430  C01272 -> C01243 R03427  C01243 -> C04063 R04372  C04063 -> C04006 R01187  C04006 -> C00137
M00132,R03429  C01243 -> C04477 R03478  C04477 -> C01284 R05202  C01284 -> C01204
M00880,R09394  C00044 -> C21310 R11372  C21310 -> C18239 R09395  C18239 -> C05924 R09726  C05924 -> C19848 R09735  C19848 -> C18237
M00842,R00428  C00044 -> C05922 R05046  C05922 -> C05923 R05048  C05923 -> C06148 R04639  C06148 -> C04895 R04286  C04895 -> C03684 R08208  C03684 -> C00272
M00037,R01814  C00078 -> C00643 R02701  C00643 -> C00780 R02911  C00780 -> C00978 R03130  C00978 -> C01598
M00103,R03311  C01164 -> C05443 R03611  C05443 -> C01561 R03610  C01561 -> C01673
