model_id,kegg.module,module_name
PROD2mB_MitoCore,M00015,"Proline biosynthesis, glutamate => proline"
G5SADrm,M00015,"Proline biosynthesis, glutamate => proline"
G5SADrm,M00972,Proline metabolism
r0074,M00972,Proline metabolism
GLU5Km,M00972,Proline metabolism
G5SDym,M00134,"Polyamine biosynthesis, arginine => ornithine => putrescine"
P5CRm,,
P5CRxm,,
ORNTArm,,
ORNDC,M00133,"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine"
PTRCOX1,M00133,"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine"
r0464c_MitoCore,M00135,"GABA biosynthesis, eukaryotes, putrescine => GABA"
ABUTD,M00135,"GABA biosynthesis, eukaryotes, putrescine => GABA"
ARGDCm,M00135,"GABA biosynthesis, eukaryotes, putrescine => GABA"
AGMTm,M00135,"GABA biosynthesis, eukaryotes, putrescine => GABA"
PTRCAT1m_MitoCore,M00027,GABA (gamma-Aminobutyrate) shunt
APRTO2m_MitoCore,M00027,GABA (gamma-Aminobutyrate) shunt
NABTNOm,M00027,GABA (gamma-Aminobutyrate) shunt
4aabutn_MitoCore,,
GLUDC,M00740,Methylaspartate cycle
ABTArm,,
r0178,M00740,Methylaspartate cycle
GLUDxm,M00978,Ornithine-ammonia cycle
GLUDym,,
GLUDxi,,
GLUDy,M00020,"Serine biosynthesis, glycerate-3P => serine"
GLNS,M00020,"Serine biosynthesis, glycerate-3P => serine"
GLUNm,M00020,"Serine biosynthesis, glycerate-3P => serine"
GLUN_MitoCore,M00140,"C1-unit interconversion, prokaryotes"
GLUN_MitoCore,M00141,"C1-unit interconversion, eukaryotes"
GLUN_MitoCore,M00346,"Formaldehyde assimilation, serine pathway"
GLUN_MitoCore,M00532,Photorespiration
GLUN_MitoCore,M00975,"Betaine degradation, bacteria, betaine => pyruvate"
PGCD,,
PSERT,M00126,"Tetrahydrofolate biosynthesis, GTP => THF"
PSERT,M00840,"Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF"
PSERT,M00841,"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF"
PSP_L,M00140,"C1-unit interconversion, prokaryotes"
PSP_L,M00141,"C1-unit interconversion, eukaryotes"
PSP_L,M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
GHMT2r,M00140,"C1-unit interconversion, prokaryotes"
GHMT2r,M00141,"C1-unit interconversion, eukaryotes"
GHMT2r,M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
FOLR2,,
DHFR,M00140,"C1-unit interconversion, prokaryotes"
DHFR,M00141,"C1-unit interconversion, eukaryotes"
DHFR,M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
MTHFD,,
MTHFC,M00975,"Betaine degradation, bacteria, betaine => pyruvate"
FTCD,M00140,"C1-unit interconversion, prokaryotes"
FTCD,M00141,"C1-unit interconversion, eukaryotes"
FTCD,M00346,"Formaldehyde assimilation, serine pathway"
FTCD,M00532,Photorespiration
FTCD,M00975,"Betaine degradation, bacteria, betaine => pyruvate"
FTHFL,M00621,Glycine cleavage system
FTHFDH,M00621,Glycine cleavage system
r0060,M00621,Glycine cleavage system
GHMT2rm,,
GCCam,M00126,"Tetrahydrofolate biosynthesis, GTP => THF"
GCCam,M00840,"Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF"
GCCam,M00841,"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF"
GCCbim,M00140,"C1-unit interconversion, prokaryotes"
GCCbim,M00141,"C1-unit interconversion, eukaryotes"
GCCbim,M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
GCCcm,M00141,"C1-unit interconversion, eukaryotes"
r0514,M00140,"C1-unit interconversion, prokaryotes"
r0514,M00141,"C1-unit interconversion, eukaryotes"
r0514,M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
r0226,M00140,"C1-unit interconversion, prokaryotes"
r0226,M00141,"C1-unit interconversion, eukaryotes"
r0226,M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
MTHFDm,,
MTHFD2m,,
MTHFCm,,
FTHFLm,,
FTHFDHm_MitoCore,,
GLYATm,,
AOBUTDsm,,
AACTOORm_MitoCore,M00029,Urea cycle
LGTHLm_MitoCore,M00029,Urea cycle
LGTHLm_MitoCore,M00844,"Arginine biosynthesis, ornithine => arginine"
LGTHLm_MitoCore,M00978,Ornithine-ammonia cycle
GLYOXm,,
LDH_Dm_MitoCore,,
CBPSam,,
OCBTm,,
NOS1,M00118,"Glutathione biosynthesis, glutamate => glutathione"
NOS2,M00118,"Glutathione biosynthesis, glutamate => glutathione"
r0129,,
AMPTASECG,,
GLUCYS,M00025,"Tyrosine biosynthesis, chorismate => HPP => tyrosine"
GLUCYS,M00044,"Tyrosine degradation, tyrosine => homogentisate"
GTHS,M00044,"Tyrosine degradation, tyrosine => homogentisate"
r0399,M00044,"Tyrosine degradation, tyrosine => homogentisate"
DHPR,M00044,"Tyrosine degradation, tyrosine => homogentisate"
TYRTA,M00044,"Tyrosine degradation, tyrosine => homogentisate"
TYRTB_MitoCore,M00044,"Tyrosine degradation, tyrosine => homogentisate"
34HPPOR,,
HGNTOR,,
MACACI,M00045,"Histidine degradation, histidine => N-formiminoglutamate => glutamate"
FUMAC,M00045,"Histidine degradation, histidine => N-formiminoglutamate => glutamate"
ASNS1,M00045,"Histidine degradation, histidine => N-formiminoglutamate => glutamate"
r0127,M00045,"Histidine degradation, histidine => N-formiminoglutamate => glutamate"
HISD,,
URCN,M00013,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"
URCN,M00991,"Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => acetyl-CoA"
URCN,M00992,"Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => acrylate => acetyl-CoA"
IZPN,M00013,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"
IZPN,M00991,"Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => acetyl-CoA"
IZPN,M00992,"Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => acrylate => acetyl-CoA"
GluForTx,M00119,"Pantothenate biosynthesis, valine/L-aspartate => pantothenate"
APAT2rm,M00047,Creatine pathway
MMSAD3m,M00047,Creatine pathway
MMSAD3m2_MitoCore,,
ASP1DC,,
CKc,,
CK,,
ACOAHi,,
ALCD2yf,M00357,"Methanogenesis, acetate => methane"
ALCD2if,,
ALDD2xm,,
ALDD2x,M00357,"Methanogenesis, acetate => methane"
ACSm,,
ACSm,,
ACSm,M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
ACS,M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
ACS,M00958,"Adenine ribonucleotide degradation, AMP => Urate"
ACS,M00029,Urea cycle
ACS,M00134,"Polyamine biosynthesis, arginine => ornithine => putrescine"
ADSL1,M00029,Urea cycle
ADSL1,M00844,"Arginine biosynthesis, ornithine => arginine"
ADSL1,M00845,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
ADSL1,M00978,Ornithine-ammonia cycle
ADSS,M00029,Urea cycle
ADSS,M00844,"Arginine biosynthesis, ornithine => arginine"
ADSS,M00845,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
ADSS,M00978,Ornithine-ammonia cycle
AMPD1,M00029,Urea cycle
AMPD1,M00134,"Polyamine biosynthesis, arginine => ornithine => putrescine"
ARGN,M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
ARGSL,M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
ARGSL,M00846,"Siroheme biosynthesis, glutamyl-tRNA => siroheme"
ARGSL,M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
ARGSL,M00926,"Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme"
ARGSS,M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
ARGSS,M00846,"Siroheme biosynthesis, glutamyl-tRNA => siroheme"
ARGSS,M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
ARGSS,M00926,"Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme"
ARGNm,M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
ARGNm,M00846,"Siroheme biosynthesis, glutamyl-tRNA => siroheme"
ARGNm,M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
ARGNm,M00926,"Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme"
ALASm,M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
ALASm,M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
ALASm,M00926,"Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme"
PPBNGS,M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
PPBNGS,M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
HMBS,M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
HMBS,M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
UPP3S,M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
UPP3S,M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
UPPDC1,,
CPPPGO,,
PPPGOmB_MitoCore,,
FCLTm,,
HOXG,,
BILIRED,M00089,Triacylglycerol biosynthesis
BILIRED2_MitoCore,M00089,Triacylglycerol biosynthesis
PCHOLPm_hs,M00093,"Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE"
GLYK,,
GPAMm_hsB_MitoCore,,
AGPAT1B_MitoCore,,
CDSm,,
PGPPTm,,
PGPP_hsm_MitoCore,M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
CLS_hsm_MitoCore,,
CLPN_MitoCore,,
CYTK1m,,
NDPK3m,,
SPODMm,,
GTHP,,
GTHPm,,
GTHO,,
GTHOm,,
ATPtmB_MitoCore,M00051,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"
ATPtmB_MitoCore,M00978,Ornithine-ammonia cycle
FE2tm,M00051,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"
r1437,M00051,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"
CYStec,M00051,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"
